repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.0414079987,0.006156,28.5684471,0.00908800028,28.645384,0
1,1.3e-05,0.0399359986,0.003361,28.7100792,0.00924799964,28.784503,0
2,1.2e-05,0.0456000008,0.0034,28.5614719,0.0149119999,28.652519,0
3,1.4e-05,0.0409279987,0.002723,28.5554562,0.0212159995,28.677995,0
4,2.6e-05,0.0400639996,0.020877,28.8988476,0.0133119998,28.984895,0
5,2e-05,0.0668800026,0.006488,28.5645123,0.00915199984,28.671332,0
6,2e-05,0.0395199992,0.004183,32.9846382,0.0197759997,33.181815,0
7,2e-05,0.0625279993,0.008575,30.4882889,0.0140159996,30.701134,0
8,1.3e-05,0.0688640028,0.004786,30.368,0.0338560008,30.611278,0
9,2.3e-05,0.0629120022,0.012451,30.3849926,0.0149760004,30.603058,0
10,1.8e-05,0.0399999991,0.00446,28.9737911,0.0137919998,29.057178,0
11,1.4e-05,0.0609919988,0.005061,28.5634232,0.0129920002,28.666143,0
12,1.4e-05,0.0635199994,0.004807,28.7942715,0.0156800002,28.90865,0
13,1.3e-05,0.0826879963,0.004855,28.5616322,0.0167999994,28.688629,0
14,1.3e-05,0.0401920006,0.002752,28.5744324,0.0148480004,28.653891,0
15,1.3e-05,0.0388480015,0.002688,32.5421753,0.0161600001,32.628514,0
16,1.4e-05,0.0634239987,0.00912,28.5665607,0.00972799957,28.673235,0
17,1.7e-05,0.0412480012,0.007161,28.5631676,0.00867199991,28.641872,0
18,1.4e-05,0.0393280014,0.004115,28.5844154,0.0160000008,28.668328,0
19,1.4e-05,0.0417280011,0.002779,28.5657597,0.00937599968,28.646785,0
20,1.2e-05,0.0394239984,0.004127,28.5654087,0.00889599975,28.638598,0
21,1.3e-05,0.0393919982,0.003064,28.5593281,0.00934400037,28.633698,0
22,1.3e-05,0.0392320007,0.002495,28.5614719,0.00915199984,28.637258,0
23,1.4e-05,0.0395839997,0.002561,28.5646076,0.0117760003,28.797049,0
24,1.3e-05,0.0622080006,0.004939,32.1443825,0.0173760001,32.259644,0
25,1.4e-05,0.0687680021,0.010044,28.6189117,0.0205119997,28.759612,0
26,2.5e-05,0.0394239984,0.021073,28.5828152,0.00863999967,28.667273,0
27,1.3e-05,0.0434559993,0.007362,28.571104,0.0159680005,28.663788,0
28,1.2e-05,0.0403839983,0.003822,28.5650883,0.00899199955,28.641713,0
29,1.4e-05,0.0401920006,0.004135,28.5594559,0.0090239998,28.639852,0
30,1.4e-05,0.0395839997,0.003622,28.5669117,0.015904,28.652539,0
31,1.2e-05,0.0398720019,0.002952,28.5681286,0.0160319991,28.654435,0
32,1.4e-05,0.0390399992,0.002767,28.5719357,0.0150720002,28.797268,0
33,1.8e-05,0.0394879989,0.004622,32.1351662,0.0202879999,32.23875,0
34,1.8e-05,0.0653759986,0.016291,28.7836151,0.0114879999,28.900381,0
35,1.3e-05,0.0484159999,0.004849,28.7125111,0.00924799964,28.799751,0
36,1.3e-05,0.0412480012,0.003305,28.5590725,0.00860800035,28.638374,0
37,1.3e-05,0.0394559987,0.005306,28.5565128,0.0160319991,28.641786,0
38,1.4e-05,0.0394879989,0.003713,28.5605431,0.00812800042,28.638685,0
39,1.3e-05,0.0393280014,0.003155,28.5672321,0.00953599997,28.644653,0
40,1.3e-05,0.0393280014,0.003631,28.5641594,0.00937599968,28.642118,0
41,1.4e-05,0.0393600017,0.002616,31.3026886,0.0136320004,31.385911,0
42,1.4e-05,0.0611199997,0.004972,30.5040321,0.0153919999,30.614809,0
43,1.3e-05,0.0620479994,0.008994,28.5599689,0.0167360008,28.686433,0
44,2.5e-05,0.0422400013,0.018944,28.5849915,0.00911999959,28.664056,0
45,1.3e-05,0.0394239984,0.003041,28.8884163,0.0126400003,28.969057,0
46,1.9e-05,0.0612160005,0.00382,28.5569592,0.0160000008,28.664488,0
47,1.4e-05,0.0394879989,0.006362,28.5674877,0.00819199998,28.646207,0
48,1.4e-05,0.0409279987,0.003344,28.5717125,0.00944000017,28.652972,0
49,1.4e-05,0.0397120006,0.002997,28.5673275,0.00822400022,28.644819,0
50,1.4e-05,0.0394239984,0.00407,30.6990395,0.0211200006,30.794406,0
51,1.4e-05,0.0635519996,0.004463,29.7913609,0.0139199998,29.901844,0
