repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.7e-05,0,0.016583,33.4918098,0,33.539584,0
1,1.3e-05,0,0.011478,33.2555199,0,33.284471,0
2,1.3e-05,0,0.01072,33.1970253,0,33.224803,0
3,1.2e-05,0,0.009375,33.0056305,0,33.031137,0
4,1.3e-05,0,0.008844,33.2528648,0,33.277623,0
5,1.3e-05,0,0.008493,33.2279053,0,33.255813,0
6,1.4e-05,0,0.009489,33.3776627,0,33.405863,0
7,1.4e-05,0,0.008806,33.1087341,0,33.138492,0
8,1.4e-05,0,0.009649,34.052639,0,34.085238,0
9,1.3e-05,0,0.010159,33.3222389,0,33.349016,0
10,1.4e-05,0,0.009116,33.2138863,0,33.265593,0
11,1.8e-05,0,0.017802,33.1851501,0,33.211353,0
12,1.6e-05,0,0.008874,33.1424637,0,33.171403,0
13,1.4e-05,0,0.010325,33.2820473,0,33.307577,0
14,1.6e-05,0,0.009321,32.9568977,0,32.987633,0
15,1.4e-05,0,0.009158,33.2543983,0,33.282983,0
16,1.4e-05,0,0.010047,33.175808,0,33.201437,0
17,1.4e-05,0,0.009233,33.1575356,0,33.225333,0
18,2.6e-05,0,0.026455,33.6320648,0,33.679563,0
19,1.3e-05,0,0.018708,33.1563187,0,33.201719,0
20,1.3e-05,0,0.017689,33.14608,0,33.184287,0
21,1.3e-05,0,0.012806,33.6746559,0,33.709303,0
22,1.4e-05,0,0.013095,33.3460464,0,33.384183,0
23,1.3e-05,0,0.01399,33.1622391,0,33.200296,0
24,1.4e-05,0,0.014576,33.2860794,0,33.315797,0
25,1.4e-05,0,0.010999,33.0745926,0,33.107944,0
26,1.4e-05,0,0.011825,33.3158417,0,33.352464,0
27,1.5e-05,0,0.01463,33.1568947,0,33.184406,0
28,1.3e-05,0,0.010298,33.0036812,0,33.035499,0
29,1.2e-05,0,0.01065,33.1598091,0,33.188954,0
30,1.4e-05,0,0.010141,33.4077759,0,33.440636,0
31,1.3e-05,0,0.010569,33.4472961,0,33.485689,0
32,1.9e-05,0,0.014768,33.1426239,0,33.175273,0
33,1.8e-05,0,0.01085,33.0948143,0,33.121614,0
34,1.5e-05,0,0.010057,33.0902405,0,33.119431,0
35,1.4e-05,0,0.010131,33.125248,0,33.149446,0
36,1.4e-05,0,0.008636,33.483551,0,33.518098,0
37,1.3e-05,0,0.010768,33.0558739,0,33.083416,0
38,1.5e-05,0,0.009675,34.1447372,0,34.172307,0
39,1.3e-05,0,0.010508,33.2781448,0,33.310304,0
40,1.4e-05,0,0.010193,33.1615982,0,33.188496,0
41,1.4e-05,0,0.009221,33.0612793,0,33.090431,0
42,1.4e-05,0,0.009618,33.0003853,0,33.030008,0
43,1.3e-05,0,0.009542,32.9402542,0,32.980607,0
44,1.4e-05,0,0.009056,32.8438416,0,32.870794,0
45,1.3e-05,0,0.009226,33.0371208,0,33.064533,0
46,1.2e-05,0,0.008814,33.3460464,0,33.369431,0
47,1.4e-05,0,0.00805,33.1226578,0,33.151705,0
48,1.3e-05,0,0.011223,33.3648338,0,33.387611,0
49,1.4e-05,0,0.007863,33.1077423,0,33.135935,0
50,1.3e-05,0,0.009806,33.0752335,0,33.102391,0
51,1.4e-05,0,0.009088,33.0924797,0,33.119998,0
52,1.4e-05,0,0.007706,32.9926071,0,33.018432,0
53,1.3e-05,0,0.007048,32.9019203,0,32.924727,0
54,1.3e-05,0,0.008362,33.2536964,0,33.304992,0
55,2.3e-05,0,0.017846,32.8340797,0,32.862698,0
56,2.3e-05,0,0.010771,33.2132797,0,33.236631,0
57,1.8e-05,0,0.008294,31.7821751,0,31.802386,0
58,1.4e-05,0,0.006738,32.2847366,0,32.305657,0
59,1.4e-05,0,0.006189,33.8168945,0,33.846357,0
60,1.3e-05,0,0.009572,33.9417915,0,33.971352,0
61,1.6e-05,0,0.009595,34.0301132,0,34.057915,0
62,1.5e-05,0,0.009702,35.3430405,0,35.367745,0
63,1.3e-05,0,0.008744,33.4828491,0,33.508409,0
64,1.4e-05,0,0.007708,33.6111031,0,33.637455,0
65,2.4e-05,0,0.008836,33.3283195,0,33.358035,0
66,1.4e-05,0,0.009748,33.1730576,0,33.197572,0
67,1.4e-05,0,0.007769,33.4005775,0,33.429457,0
68,1.3e-05,0,0.009225,34.4820175,0,34.508397,0
69,1.5e-05,0,0.00782,33.9767342,0,33.998428,0
70,1.3e-05,0,0.007235,33.4258232,0,33.447547,0
71,1.2e-05,0,0.007476,33.4182701,0,33.444795,0
